"PERS_ID","YM_start","YM_end"
133539533,201602,201603
133539533,201604,201610
133545647,201010,201307
133545647,201308,201308
133545647,201310,201407
133553979,200902,200902
133579087,201805,201808
133579877,200912,201212
133581511,201509,201602
133581511,201511,201605
133581511,201512,201605
133581511,201608,201608
133581511,201604,201706
133581511,201608,201804
133581511,201605,201804
133591747,200204,200607
133591747,200611,200809
133591747,200903,201010
133602655,201309,201311
133602655,201405,201406
133602655,201510,201606
133602655,201608,201611
133630579,201202,201311
133652303,199906,199912
133656679,200107,200202
133656679,200212,200402
133656679,200507,200705
133666975,201208,201407
133666975,201502,201503
133666975,201506,201707
133670583,201608,201703
133670583,201703,201809
133679157,201207,201211
133679157,201803,201806
133683639,200603,200605
133683639,200606,200803
133683639,200904,200912
133700099,200705,200705
133715189,200906,200907
133719577,200610,200612
133719577,200702,200706
133719577,201402,201603
133719577,201604,201604
133719577,201606,201609
133737653,199812,199812
133737653,199905,200009
133737653,200009,200111
133807571,201411,201511
133807571,200810,201202
133832541,201505,201611
133832541,201706,201805
133839429,200006,200009
133839429,200009,200009
133839429,200009,200706
133839429,201604,201704
133884007,201007,201412
133884007,201501,201508
133891965,201101,201201
133891965,201308,201401
133893789,200909,201010
133893789,201010,201102
133893789,201102,201204
133893789,201205,201304
133893789,201205,201304
133921019,201301,201404
133943735,201005,201007
133943735,201007,201210
133954437,201409,201409
133954437,201409,201604
133957845,201804,201806
133961299,200009,200401
133961299,200401,200707
134030727,201205,201305
134030727,201306,201311
134031677,201802,201806
134040811,201503,201510
134040811,201511,201603
134040811,201603,201604
134040811,201604,201607
134065725,201010,201206
134088983,201007,201101
134088983,201102,201202
134113085,201201,201308
134113099,201402,201602
134113099,201602,201702
134129395,201208,201307
134129395,201307,201308
134129395,201308,201407
134129395,201508,201508
134129395,201509,201702
134129407,201405,201411
134149033,201211,201306
134149097,201104,201409
134151643,201008,201109
134151643,201109,201302
134153313,201505,201510
134160201,201306,201306
134162723,201301,201401
134162723,201007,201301
134162723,201101,201301
134173711,201706,201709
134182139,200609,200611
134184887,201406,201506
134205005,201409,201409
134205697,201511,201601
134205697,201602,201606
134216475,201203,201206
134216475,201209,201312
134216475,201312,201412
134216475,201412,201608
134216475,201202,201202
134219927,201106,201302
134222593,200212,200603
134222593,200603,200710
134223839,201104,201304
134241671,200009,200010
134241671,200101,200401
134241671,200402,200410
134241671,200606,200612
134241671,200705,200907
134316167,201506,201507
134316167,201508,201509
134316167,201712,201803
134359785,201001,201006
134359785,201007,201007
134392581,200906,201007
134393455,199909,199909
134413843,201310,201310
134413843,201209,201402
134413843,201409,201409
134413843,201409,201501
134413843,201503,201512
134413843,201603,201610
134424437,201509,201612
134438665,201109,201109
134444715,201007,201305
134444715,201308,201404
134444715,201404,201409
134444715,201504,201506
134444723,200806,200811
134444723,200806,200811
134444723,200903,200911
134444723,201005,201206
134444723,201304,201304
134444723,201306,201307
134444723,201308,201312
134444723,201406,201412
134444723,201502,201507
134444723,201509,201702
134452483,201101,201103
134452483,201106,201204
134452583,190001,200910
134452583,201401,201406
134452583,201409,201412
134452583,201508,201510
134452583,201603,201704
134452583,201209,201212
134452583,201301,201312
134452583,201501,201512
134452583,201401,201412
134457707,201112,201209
134457707,201210,201301
134491099,200912,201001
134491099,201103,201104
134491099,201104,201104
134491099,201106,201107
134491173,201601,201706
134494929,201103,201205
134494929,201405,201605
134512231,201407,201509
134522443,201002,201012
134526221,201112,201502
134526221,201605,201703
134530541,201007,201205
134530541,201205,201304
134536499,200209,200410
134536499,200505,200510
134555495,200201,200305
134555495,200705,200811
134555495,200711,200811
134557753,200909,200911
134561357,200004,200004
134561357,200205,200212
134561357,200410,200505
134561357,200705,200706
134581073,200812,201111
134581073,201111,201312
134587275,200306,200603
134587275,200604,200707
134587275,200712,201004
134604239,199412,199602
134604239,199904,199909
134604239,199910,200006
134604239,200102,200106
134609053,201508,201804
134609053,201403,201512
134616911,200907,201105
134616911,201105,201305
134618709,200909,200910
134618709,201005,201007
134624487,200811,201104
134630569,201612,201707
134631295,200812,200901
134631295,200907,200910
134631295,201012,201102
